早上6点	6 giờ sáng
下午7点	7 giờ chiều

三点半	ba giờ rưỡi

三点前后	tầm ba giờ

三点三分	ba giờ ba phút
三点三分钟	ba giờ ba phút

三点三分三秒	ba giờ ba phút ba giây
三点三分钟三秒钟	ba giờ ba phút ba giây

三分三秒	ba phút ba giây
三分钟三秒钟	ba phút ba giây

早上三点	ba giờ sáng
下午三点	ba giờ chiều

早上6点半	6 giờ rưỡi sáng
下午7点半	7 giờ rưỡi chiều

早上三点半	ba giờ rưỡi sáng
下午三点半	ba giờ rưỡi chiều

6点45	6 giờ 45
6点45分	6 giờ 45 phút
6点45分钟	6 giờ 45 phút
6点45分15秒	6 giờ 45 phút 15 giây

9时21分	9 giờ 21 phút
2015年2月5日9时21分	9 giờ 21 phút ngày 5 tháng 2 năm 2015

七月的天气	thời tiết tháng bảy
