上	trên	Ldir
下	dưới	Ldir
中	trong	Ldir
前	trước	Ldir
后	sau	Ldir
左	trái	Ldir
右	phải	Ldir
东	đông	Ldir
西	tây	Ldir
南	nam	Ldir
北	bắc	Ldir
里	trong	Ldir
外	ngoài	Ldir
内	trong	Ldir
旁	cạnh	Ldir
间	giữa	Ldir

以上	bên trên	Ldir
以下	sau đây	Ldir
以前	trước kia	Ldir
以后	sau này	Ldir
以左	phía trái	Ldir
以右	phía phải	Ldir
以东	phía đông	Ldir
以西	phía tây	Ldir
以南	phía nam	Ldir
以北	phía bắc	Ldir
以里	trong vòng	Ldir
以外	ngoài ra	Ldir
以内	trong vòng	Ldir
以中	phía trong	Ldir	1
以旁	phía cạnh	Ldir	1

之上	phía trên	Ldir	1
之下	phía dưới	Ldir	1
之前	phía trước	Ldir	1
之后	về sau	Ldir	1
之左	bên trái	Ldir	1
之右	bên phải	Ldir	1
之南	phía nam	Ldir	1
之北	phía bắc	Ldir	1
之外	bên ngoài	Ldir	1
之中	bên trong	Ldir	1
之内	bên trong	Ldir	1
之旁	bên cạnh	Ldir	1
上边	bên trên	Ldir	1
下边	phía dưới	Ldir	1

前边	phía trước	Ldir
后边	phía sau	Ldir
左边	bên trái	Ldir
右边	bên phải	Ldir
东边	phía đông	Ldir
西边	phía tây	Ldir
南边	phía nam	Ldir
北边	phía bắc	Ldir
里边	bên trong	Ldir
外边	bên ngoài	Ldir
中边	bên trong	Ldir
内边	bên trong	Ldir
旁边	bên cạnh	Ldir

上面	mặt trên	Ldir
下面	mặt dưới	Ldir
前面	mặt trước	Ldir
后面	mặt sau	Ldir
左面	mặt trái	Ldir
右面	mặt phải	Ldir
东面	mặt đông	Ldir
西面	mặt tây	Ldir
南面	mặt nam	Ldir
北面	mặt bắc	Ldir
里面	mặt trong	Ldir
外面	mặt ngoài	Ldir
中面	mặt trong	Ldir	1
内面	mặt trong	Ldir	1
旁面	mặt cạnh	Ldir

上头	đầu trên	Ldir
下头	đầu dưới	Ldir
前头	đầu trước	Ldir
后头	đầu sau	Ldir
左头	đầu trái	Ldir
右头	đầu phải	Ldir
东头	đầu đông	Ldir
西头	đầu tây	Ldir
南头	đầu nam	Ldir
北头	đầu bắc	Ldir
里头	bên trong	Ldir
外头	bên ngoài	Ldir
中头	đầu giữa	Ldir
内头	đầu trong	Ldir


上方	phía trên	Ldir
下方	phía dưới	Ldir
前方	phía trước	Ldir
后方	phía sau	Ldir
左方	phía trái	Ldir
右方	phía phải	Ldir
东方	phương đông	Ldir
西方	phương tây	Ldir
南方	phương nam	Ldir
北方	phương bắc	Ldir
里方	phía trong	Ldir
外方	phía ngoài	Ldir
中方	phía giữa	Ldir	1
内方	phía trong	Ldir


上部	phần trên	Ldir
下部	phần dưới	Ldir
前部	phần trước	Ldir
后部	phần sau	Ldir
左部	phần trái	Ldir
右部	phần phải	Ldir

东部	miền đông	Ldir
西部	miền tây	Ldir
南部	miền nam	Ldir
北部	miền bắc	Ldir

里部	bên ngoài	Ldir
外部	bên trong	Ldir

中部	trung bộ	Ldir	1
内部	bên trong	Ldir	1

上下	cao thấp	Ldir
上下	trên dưới	Ldir
前后	trước sau	Ldir
里外	trong ngoài	Ldir
左右	trái phải	Ldir
左右	trên dưới	Ldir
内外	trong ngoài	Ldir
当中	chính giữa	Ldir

头里	trước	Ldir	1
底下	dưới	Ldir	1
中间	giữa	Ldir	1

哪里	nơi nào	Ldir	1
哪儿	chỗ nào	Ldir	1
这里	nơi này	Ldir	1
这儿	nơi này	Ldir	1
那里	chỗ đó	Ldir	1
那儿	nơi đó	Ldir	1
