我	ta	Rper
我们	chúng ta	Rper
咱	ta	Rper
咱们	bọn ta	Rper
俺	tau	Rper
俺们	chúng tau	Rper
臣		Rper
朕		Rper

你	ngươi	Rper
你们	các ngươi	Rper
您	ngài	Rper
你们	các ngài	Rper
伱		Rper
伱们		Rper

他	hắn	Rper
他们	bọn hắn	Rper
她	nàng	Rper
她们	bọn nàng	Rper
它	nó	Rper
它们	bọn nó	Rper

其	nó	Rper
其们	chúng nó	Rper

自己	bản thân	Rr_ziji_0	3
自己	mình	Rr_ziji_1	2
自己	chính	Rr_ziji_2	1

这	này	Rd_zhe
那	kia	Rd_na1
每	mỗi	Rd_mei

这样	như vậy	Rd_zheyang
那样	như thế	Rd_nayang

这里	ở đây	Rdem
那儿		Rdem
那么		Rdem
其他		Rdem
别的		Rdem


几	mấy	Ri_ji
哪	nào	Ri_na2
谁	ai	Ri_shei

何		Rint
啥		Rint
咋		Rint
多少		Rint
哪里		Rint
怎样		Rint
哪儿		Rint
哪里		Rint
什么		Rint
怎么		Rint
怎么样		Rint
怎能		Rint
怎的		Rint
几时		Rint
多少		Rint
若干		Rint
为何		Rint
为什么		Rint
如何		Rint
为啥		Rint
