就	liền	Jj_jiu	0
又	vừa	Jj_you4	0
以	mà	Jj_ji3	0

是	là	Jj_shi	0
或是	hoặc là	Jj_huoshi	1

或是	hoặc là	Jcreal	1
但是	nhưng là	Jjword	1
于是	thế là	Jjword	1
可是	nhưng là	Jjword	1
还是	hay là	Jjword	1
若是	nếu là	Jjword	1
而是	mà là	Jjword	1
就是	chính là	Jjword	1
于是	thế là	Jjword	1
只是	chỉ là	Jjword	1
要是	nếu như	Jjword	1
要是	như là	Jjword	1

于是乎	kết quả là	Jjword	1
这就是说	điều đó nghĩa là	Jjword	1

要不是	nếu không	Jjword	1
且不说	hoặc là	Jjword	1


不是	không phải là	Jjword	1
不但	chẳng những	Jjword
不仅	không chỉ	Jjword	1
不过	có điều	Jjword	1
不管	bất kể	Jjword	1
不论	bất luận	Jjword	1
不然	nếu không thì	Jjword	1
不然	không phải vậy	Jjword	1
不然	không vậy	Jjword	1
不如	không bằng	Jjword	1
不光	không riêng	Jjword	1

不单	không chỉ	Jjword	1
不只	không chỉ	Jjword	1
不独	không riêng	Jjword	1
不然	nếu không thì	Jjword	1
不然	bằng không	Jjword	1
不说	không nói đến	Jjword	1
不说	không nói	Jjword	1
不如说	không bằng nói	Jjword	1


或	hoặc	Jj_huo4
抑或	hay là	Jj_jihuo

或	hay là	Jcreal

因	bởi vì	Jjword
因为	bởi vì	Jjword
因此	do đó	Jjword
因而	cho nên	Jjword

和	và	Jcreal	1
与	cùng	Jcreal	1
同	với	Jcreal	1
跟	cùng	Jcreal	1
而	mà	Jcreal	1
暨	tới	Jcreal	1
并	hơn nữa	Jcreal	1
又	lại	Jcreal	1

但	nhưng	Jj_dan4	0
但	nhưng	Jcadjt	1
非但	chẳng những	Jjword
岂但	đâu chỉ	Jjword

宁	thà	Jjword	1
宁可	thà rằng	Jjword	1
宁愿	thà rằng	Jjword	1

及	cho tới	Jcreal
况且	huống hồ	Jcreal
以及	cùng với	Jcreal
乃至	thậm chí	Jcreal

以及	cùng với	Jcreal
及其	đạt đến	Jcreal
加之	thêm nữa	Jcreal
换言之	nói cách khác	Jcreal


那么	thì	Jjword	1

可	nhưng	Jjword
可见	dễ thấy	Jjword
由此可见	bởi vậy có thể thấy	Jjword


且	còn	Jjword	1
乃	bèn	Jjword	1
即	mặc dù	Jjword	1


而且	mà còn	Jj_erqie 0
而且	với lại	Jjword	1

那	vậy	Jjword	1



同时	đồng thời	Jjword	1

甚至	cả đến	Jcreal	0
甚至	thậm chí	Jjword	1

所以	sở dĩ	Jj_suoji_1	1
所以	cho nên	Jj_suoji_2	1
之所以	sở dĩ	Jjword	1

若	như	Jjword	1

假若	giả như	Jjword	1
倘若	nếu như	Jjword	1
若果	nếu như	Jjword	1
如若	nếu như	Jjword	1
莫若	chi bằng	Jjword	1

再说	vả lại	Jjword	1
再者	lại nữa	Jjword	1
再有	lại có	Jjword	1

###

才	mới	Jjword	1
由于	bởi vì	Jjword	1
以及	cùng với	Jjword	1
如	như	Jjword	1

纵	dẫu	Jjword	1


则	thì	Jjword	1

如果	nếu như	Jjword	1
既	đã	Jjword	1

首先	trước tiên	Jjword	1




然而	tuy nhiên	Jjword	1
然而	nhưng mà	Jjword	1

只有	chỉ có	Jjword	1

从而	theo đó	Jjword	1
虽然	mặc dù	Jjword	1
虽然	tuy nhiên	Jjword	1
尽管	cứ việc	Jjword	1
只要	chỉ cần	Jjword	1


虽	dù	Jjword	1
此外	ngoài ra	Jjword	1
然后	tiếp đó	Jjword	1

另外	mặt khác	Jjword	1
#另外	ngoài ra	Jjword	1
一方面	một mặt	Jjword	1


其次	tiếp theo	Jjword	1
即使	cho dù	Jjword	1
与此同时	cùng lúc đó	Jjword	1
乃至	thậm chí	Jjword	1
无论	bất kể	Jjword	1

另一方面	về phương diện khác	Jjword	1

接着	tiếp lấy	Jjword	1

否则	bằng không	Jjword	1

总之	tóm lại	Jjword	1
进而	tiến tới	Jjword	1
加之	thêm nữa	Jjword	1

要么	hoặc là	Jjword	1
以至	cứ thế	Jjword	1
即便	dù cho	Jjword	1

何况	huống chi	Jjword	1
假如	giả như	Jjword	1
故	cho nên	Jjword	1
以致	đến nỗi	Jjword	1


以免	để tránh	Jjword	1
既然	như đã	Jjword	1


然	song	Jjword	1
继而	sau đó	Jjword	1
继而	tiện đà	Jjword	1

倘	nếu	Jjword	1

虽说	tuy nói	Jjword	1
况且	huống hồ	Jjword	1

紧接着	ngay sau đó	Jjword	1
以至于	đến mức	Jjword	1
而后	rồi sau đó	Jjword	1

果然	quả nhiên	Jjword	1
哪怕	cho dù	Jjword	1

一来	thứ nhất	Jjword	1
二来	thứ hai	Jjword	1

反之	trái lại	Jjword	1
诚然	quả thật	Jjword	1
总的来说	tóm gọn lại nói	Jjword	1

果真	quả thật	Jjword	1
尚且	còn	Jjword	1
一则	thứ nhất	Jjword	1
万一	chẳng may	Jjword	1
万一	ngộ nhỡ	Jjword	1
万一	vạn nhất	Jjword	1
除非	trừ phi	Jjword	1

尔后	về sau	Jjword	1

故而	cho nên	Jjword	1



更有甚者	thậm chí	Jjword	1
恰恰相反	hoàn toàn khác biệt	Jjword	1


总的说来	tổng quát mà nói	Jjword	1
故此	vì vậy	Jjword	1
综上所述	từ trên tổng hợp lại	Jjword	1

总而言之	tóm lại mà nói	Jjword	1

转而	ngược lại	Jjword	1



纵使	cho dù	Jjword	1
甭管	không quan tâm	Jjword	1

换句话说	nói một cách khác	Jjword	1

具体地说	nói cụ thể	Jjword	1


既然如此	đã như vậy	Jjword	1
